concern,date,RDFType,motivation,phenology_stage
http://www.phenome-fppn.fr/diaphen/2017/o17000137,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000138,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000139,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000014,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000140,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000141,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000142,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000143,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000144,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000145,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000146,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000147,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000148,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000149,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
http://www.phenome-fppn.fr/diaphen/2017/o17000015,2017-05-28T12:00:00Z,http://www.w3.org/ns/oa#Annotation,oa:describing,3LeafStage
