Alias,uri,Date event,RDFType,Subject,Content,Creator,Created,rdf:type,RDFLabel
339/DZ_PG_62/ZM4393/WD2/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000339,11/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,18/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
340/DZ_PG_55/ZM4355/WD2/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000340,11/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,18/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
348/DZ_PG_62/ZM4393/WD2/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000348,11/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,18/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
349/DZ_PG_77/ZM4452/WD2/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000349,11/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,18/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
351/DZ_PG_26/ZM4387/WD2/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000351,11/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,18/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
356/DZ_PG_69/ZM4396/WD2/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000356,11/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,18/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
361/DZ_PG_03/ZM4377/WD2/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000361,11/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,18/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
363/DZ_PG_25/ZM4382/WD2/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000363,11/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,18/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
364/DZ_PG_16/ZM4359/WD2/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000364,11/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,18/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
365/DZ_PG_44/ZM4369/WD2/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000365,11/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,18/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
369/DZ_PG_35/ZM4358/WD2/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000369,11/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,18/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
373/DZ_PG_17/ZM4348/WD2/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000373,11/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,18/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
374/DZ_PG_07/ZM4351/WD2/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000374,11/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,18/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
375/DZ_PG_20/ZM4344/WD2/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000375,11/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,18/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
380/DZ_PG_50/ZM4363/WD2/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000380,11/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,18/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
385/DZ_PG_72/ZM4398/WD2/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000385,11/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,18/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
389/DZ_PG_66/ZM4391/WD2/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000389,11/09/2017,http://www.phenome-fppn.fr/vocabulary/m3p/2015/event#PestAttack,,Ustilago maydis infection,rncs,18/09/2017,hasPest,http://aims.fao.org/aos/agrovoc/c_34724
